address,area,price
宝龙中心一期-嘉禾路,思明,3900
宝龙中心-长青路,思明,4000
宝龙中心-嘉禾路,思明,2400
宝龙中心-嘉禾路,思明,2400
宝龙中心-嘉禾路,思明,2200
岭兜佳园-软件园,思明,3800
岭兜小区-前埔北区,思明,4000
摩登时代大厦-嘉禾路,思明,2200
摩登时代大厦-嘉禾路,思明,2600
摩登时代大厦-嘉禾路,思明,2200
瑞丽花园-瑞景,思明,4800
汇丰家园-文灶,思明,7000
源昌君悦山-莲前西路,思明,8700
嘉盛豪园-瑞景,思明,6800
鲁能领秀城-文灶,思明,1500
假日香港广场-思明北路,思明,5500
香港广场-思明北路,思明,3900
东方时代-禾祥西路,思明,5900
岭兜小区-软件园,思明,3180
岭兜佳园-软件园,思明,3300
海峡国际社区一期-会展路,思明,9500
海峡国际社区一期-会展路,思明,10000
海峡国际社区二期-会展路,思明,10000
华天花园-嘉禾路,思明,2900
东方明珠广场-莲花一村,思明,2900
中关委大厦-松柏,思明,2500
岭兜佳园-软件园,思明,1500
岭兜小区-前埔北区,思明,3000
龙辉花园-富山,思明,3800
软件园二期-软件园,思明,1900
皓晖花园-禾祥东路,思明,4300
绿家园-富山,思明,5500
罗宾森璀璨新城1期-火车站,思明,6500
中山海景广场-中山路,思明,2900
思东商厦-中山路,思明,4600
香港时代广场-中山路,思明,3500
南中广场对面-中山路,思明,2600
南中广场-中山路,思明,2900
南田巷-中山路,思明,3600
外群惠小学旁-中山路,思明,4500
大同路-大同路,思明,2700
新华城-中山路,思明,3200
大同路-大同路,思明,1600
南中广场旁-中山路,思明,2700
局口街-思明西路,思明,1000
中山海景广场-中山路,思明,2000
香港时代广场-中山路,思明,1800
中山路开元路-中山路,思明,900
轮渡洪本部-鹭江道,思明,1600
中山路轮渡-中山路,思明,1600
新景花园-软件园,思明,3400
岭兜二里-软件园,思明,3300
古歌蔡塘de家-观音山,思明,1680
古歌蔡塘de家-软件园,思明,1980
古歌蔡塘de家-软件园,思明,1680
岭兜佳园小区-前埔南区,思明,2600
