addr,area,price
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1800
天心天心区芙蓉中路三段522号巧克力空间（建鸿达现代大厦）,天心区,2100
天心天心区芙蓉中路三段522号巧克力空间（建鸿达现代大厦）,天心区,1600
天心区木莲西路新新花园,天心区,2000
天心天心区芙蓉中路三段509号,天心区,1300
长沙市天心区芙蓉南路181号通泰梅岭苑,天心区,7000
长沙市天心区书香路658号,天心区,1450
长沙市天心区芙蓉南路与披塘路交汇路口，大托镇政府南侧,天心区,1750
书院南路南二环二段306号,天心区,1600
黄土岭路2号都市春天,天心区,2800
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1800
芙蓉南路2号芙蓉中路浦沅,天心区,1400
天心区友谊路35号(韶山路与友谊路交汇处),天心区,2400
长沙市芙蓉南路四段1129号幸福庄园,天心区,2000
芙蓉南路二段88,天心区,2800
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,1700
芙蓉南路与环保西路交汇处(友阿奥特莱斯对面),天心区,1500
天心区赤岭路219号,天心区,2600
天心区赤岭路219号,天心区,2000
长沙赤岭路348号金碧文华,天心区,2200
长沙市天心区芙蓉南路与披塘路交汇路口，大托镇政府南侧,天心区,2300
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2300
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2100
长沙市天心区芙蓉南路369号BOBO天下城,天心区,1600
长沙市天心区芙蓉中路水竹街道77号层上观邸,天心区,1800
长沙市天心区芙蓉中路水竹街道77号层上观邸,天心区,1700
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,7000
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,2300
芙蓉南路长沙理工大学附近,天心区,1400
长沙市天心区芙蓉南路369号BOBO天下城,天心区,1600
长沙市天心区芙蓉南路369号BOBO天下城,天心区,1700
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,1400
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,1600
长沙市天心区解放西路与沿江大道交汇处汀兰雅苑,天心区,2400
湖南省长沙市天心区新姚南路200,天心区,2000
天心区书院路206号,天心区,2800
天心区刘家冲南路599号,天心区,1000
天心区南湖路与向东南路交界处成达花园,天心区,1900
长沙市天心区书院南路112号,天心区,1700
